Autorita (základná);Datovanie (interval);Datovanie (popis);Dátum zasadania komisie;Integrita (názov celku);Integrita (počet diel);Integrita (poradové číslo);Inventárne číslo;Katalogizované;Komisia;Kurátor;Materiál;Miery;Nadobudnuté;Názov (preferovaný);Názov (všetky);Organizácia;PID;Poznámka;Prírastkové číslo;Spôsob nadobudnutia;Stav Diela;Stav záznamu;Stupeň pôvodnosti;Stupeň pôvodnosti (ident. stavu);Stupeň pôvodnosti (počet stavov);Stupeň spracovania;Technika;Typ zbierky;Vlastník;Výtvarný druh;Zapisané do evidencie;Značenie;Žáner
"Brueghel st., Jan | Balen, Henrick van";"1600 - 1620";"17. storočie, polovica, 1610 okolo";"12.7.1956";;;;"O 1125";"1.1.1982";"24. NK";"Ludiková, Zuzana";"drevo, dubové";"výška 28.3 cm; šírka 40.8 cm";"12.7.1956";"Alegória štyroch elementov";"Alegória štyroch elementov | Allegory of the Four Elements (Preklad názvu)";"SNG";"SVK:SNG.O_1125";"POZN: 

LIT :
111 diel zo zbierok. Slovenská národná galéria. Bratislava : SNG, Vyd. Slovart, 2008. 277 s. ISBN 9788080856014(viaz.), 80-81.";"975";"kúpa";"10, Slovenská národná galéria, SNG, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"replika";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"figurálna kompozícia"
"Caulery, Louis de - okruh autora";"1600 - 1620";"17. storočie, začiatok, 1600-1620";"12.7.1956";;;;"O 1126";"1.1.1982";"24. NK";"Ludiková, Zuzana";"drevo";"výška 49.1 cm; šírka 65.6 cm";"12.7.1956";"Stavba babylónskej veže";"Stavba babylónskej veže | The Building of the Tower of Babel (Preklad názvu)";"SNG";"SVK:SNG.O_1126";"POZN: 

LIT:
Rusina, Ivan. Majstrovské diela nizozemského umenia na Slovensku. Bratislava : SNG, 2006, 126-127.";"976";"kúpa";"10, Slovenská národná galéria, SNG, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"krajina s figurálnou štafážou | náboženský motív"
"Francken II., Frans - dielňa autora";"1620 - 1630";"17. storočie, 1. polovica, 1620-1630";"12.7.1956";;;;"O 1127";"1.1.1982";"24. NK";"Ludiková, Zuzana";"drevo";"výška 37.0 cm; šírka 25.9 cm";"12.7.1956";"Chorých navštíviť - zo skupiny sedem skutkov milosrdenstva";"Chorých navštíviť - zo skupiny sedem skutkov milosrdenstva | Návšteva chorého-pôv.; The Visitation of the Sick from the Seven Acts of Mercy (Preklad názvu)";"SNG";"SVK:SNG.O_1127";"POZN:

LIT:
Rusina, Ivan. Majstrovské diela nizozemského umenia na Slovensku. Bratislava : SNG, 2006, 170.";"977";"kúpa";"10, Slovenská národná galéria, SNG, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"náboženský motív"
"Hanula, Jozef";"1892";"19. storočie, koniec, 1892";"1.7.1954";;;;"O 1154";"1.1.1982";"16. NK";"Beňová, Katarína";"plátno; lepenka";"výška 20.7 cm; šírka 30.5 cm";"1.7.1954";"Z okolia Mníchova II.";"Z okolia Mníchova II. | Around Munich II.  (Preklad názvu)";"SNG";"SVK:SNG.O_1154";"POZN:";"1004/e";"kúpa";"";"Dielo katalogizované";"originál";;;"štúdia";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vpravo dole: monogramom H";"krajina"
"Hanula, Jozef";"1935";"20. storočie, 1. polovica, 1935";"1.7.1954";;;;"O 1156";"1.1.1978";"16. NK";"Beňová, Katarína";"plátno; lepenka";"výška 41.0 cm; šírka 24.5 cm";"1.7.1954";"Pri hrozne";"Pri hrozne | Hrozno - Gazda; By the Grapevines (Preklad názvu)";"SNG";"SVK:SNG.O_1156";"POZN: ";"1004";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"Vzadu na lepenke: Hanula-Hrozno/Gazda/-Pri hrozne";""
"Hanula, Jozef";"1895 - 1896";"19. storočie, koniec, 1895-1896";"1.7.1954";;;;"O 1159";"1.1.1982";"16. NK";"Beňová, Katarína";"plátno; lepenka";"výška 25.0 cm; šírka 38.4 cm";"1.7.1954";"Pastva v Kaloči";"Pastva v Kaloči | Pasture in Kalocsa (Preklad názvu)";"SNG";"SVK:SNG.O_1159";"POZN: ";"1005/j";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vpravo dole: HJ";"krajina"
"Bohúň, Peter Michal";"1850 - 1870";"19. storočie, 2. polovica, 1850-1870";"1.1.1957";;;;"O 1162";"1.1.1983";"26. NK";"Beňová, Katarína";"plátno";"výška 100.0 cm; šírka 74.2 cm";"1.1.1957";"Podobizeň sediacej dámy s krajinou v pozadí";"Podobizeň sediacej dámy s krajinou v pozadí | Portrait of a Seated Lady wit a Landscape in the Background (Preklad názvu)";"SNG";"SVK:SNG.O_1162";"POZN: ";"1008";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";;"neznačené";"portrét"
"Pitthordt, Ľudovít";"1880 - 1900";"19. storočie, koniec, 1890 okolo";"13.2.1957";;;;"O 1168";"1.1.1979";"26. NK";"Beňová, Katarína";"lepenka";"výška 38.6 cm; šírka 30.5 cm";"13.2.1957";"Štúdia ženskej hlavy";"Štúdia ženskej hlavy | Head Study of a Woman (Preklad názvu)";"SNG";"SVK:SNG.O_1168";"POZN: ";"1014";"kúpa";"";"Dielo katalogizované";"originál";;;"štúdia";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"portrét"
"Nizozemský maliar okolo 1600";"1590 - 1610";"16.-17. storočie, prelom, 1600 okolo";"13.2.1957";;;;"O 1171";"1.1.1982";"26. NK";"Ludiková, Zuzana";"plech, medený";"výška 29.0 cm; šírka 43.3 cm";"13.2.1957";"Zmätenie jazykov pri stavbe babylónskej veže";"Zmätenie jazykov pri stavbe babylónskej veže | Confusio Babylonica (Preklad názvu); The Confusion of Tongues  (Preklad názvu)";"SNG";"SVK:SNG.O_1171";"POZN: 

LIT:
Rusina, Ivan. Majstrovské diela nizozemského umenia na Slovensku. Bratislava : SNG, 2006, 186.";"1026";"kúpa";"10, Slovenská národná galéria, SNG, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"kópia";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"náboženský motív"
"Makart, Hans";"1875 - 1900";"19. storočie, 2. polovica, 1875-1900";"13.2.1957";;;;"O 1173";"1.1.1982";"26. NK";"Beňová, Katarína";"kartón; plátno";"výška 46.8 cm; šírka 108.5 cm";"13.2.1957";"Gambrinus - štúdia k dekoratívnej výplni";"Gambrinus - štúdia k dekoratívnej výplni | Gambrinus - Study for the Decorative Panel (Preklad názvu)";"SNG";"SVK:SNG.O_1173";"POZN: ";"1028";"kúpa";"";"Dielo katalogizované";"originál";;;"štúdia";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"figurálna kompozícia"
"Majsch, Sebastian";"1846";"19. storočie, polovica, 1846";"13.2.1957";;;;"O 1175";"1.1.1982";"26. NK";"Beňová, Katarína";"plátno";"výška 120.5 cm; šírka 92.5 cm";"13.2.1957";"Cisár Ferdinand ako zakladateľ kostola sv. Ladislava v Bratislave";"Cisár Ferdinand ako zakladateľ kostola sv. Ladislava v Bratislave | Emperor Ferdinand as the Founder of the Church of Saint Ladislaus in Bratislava  (Preklad názvu)";"SNG";"SVK:SNG.O_1175";"POZN: Kópia na základe originálu od nem. maliara Friedricha Liedera - Ferdinand V., 1840, majetok GMB inv. č. O 2418

Lit.: SBS 1990, s. 36; Kat. Majschovci, GMB, kat. č. 1.3.
Archív: Mestský archív Bratislava, fond Kemény, rukopis bratislavských maliarov

Reštaurovala: M.Ďuricová 2000.";"1032";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";;"vľavo: Fundamentum posuit sie 23.Octobris  1830; vpravo dole: S.J.Majsch 846";"portrét"
"Rembrandt van Rijn - autor predlohy";"1670 - 1690";"17. storočie, 2. polovica, 1670-1690";"29.3.1957";;;;"O 1222";"1.1.1982";"26. NK";"Ludiková, Zuzana";"drevo";"výška 40.4 cm; šírka 30.2 cm";"29.3.1957";"Váženie zlata";"Váženie zlata | The Weighing of Gold (Preklad názvu)";"SNG";"SVK:SNG.O_1222";"POZN: zrkadlová redukcia Rembrandtovho obrazu   

LIT:
Rusina, Ivan. Majstrovské diela nizozemského umenia na Slovensku. Bratislava : SNG, 2006, 191.";"1034";"kúpa";"";"Dielo katalogizované";"kópia";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"nezna��ené";"figurálna kompozícia"
"Momper, Jan de";"1650 - 1700";"17. storočie, 2. polovica, 1650-1700";"1.1.1957";;;;"O 1235";"1.1.1983";"27. NK";"Ludiková, Zuzana";"plátno";"výška 31.5 cm; šírka 48.0 cm";"1.1.1957";"Romantická krajina";"Romantická krajina | Romantic Landscape (Preklad názvu)";"SNG";"SVK:SNG.O_1235";"POZN: 

LIT:
Rusina, Ivan. Majstrovské diela nizozemského umenia na Slovensku. Bratislava : SNG, 2006, 181.";"1079";"kúpa";"10, Slovenská národná galéria, SNG, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"krajina s figurálnou štafážou"
"Brill, Paulus | Západoeurópsky maliar z 18. storočia - napodobňovateľ";"1620 - 1640";"17. storočie, 1.polovica, 1630 okolo";;;;;"O 1238";"1.1.1983";;"Ludiková, Zuzana";"plech, medený";"výška 30.5 cm; šírka 41.8 cm";"21.9.1957";"Príjazd hostí";"Príjazd hostí | The Arrival of Guests (Preklad názvu)";"SNG";"SVK:SNG.O_1238";"POZN: rešt. Alena Kubová, 2002 (RP 492)

LIT:
Rusina, Ivan. Majstrovské diela nizozemského umenia na Slovensku. Bratislava : SNG, 2006, 160.";"1109";"prevod";"10, Slovenská národná galéria, SNG, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";"14.11.2007";"neznačené";"krajina s figurálnou kompozíciou"
"Moyaert, Claes Cornelisz";"1620 - 1630";"17. storočie, 1. tretina, 1620-1630";"27.9.1957";;;;"O 1258";"1.1.1982";"27. NK";"Ludiková, Zuzana";"drevo, dubové";"výška 50.7 cm; šírka 66.1 cm";"27.9.1957";"Muzicírujúci pastier";"Muzicírujúci pastier | Shepherd Playing Music (Preklad názvu)";"SNG";"SVK:SNG.O_1258";"POZN: rešt. Mária Spoločníková, 1962

LIT:
Rusina, Ivan. Majstrovské diela nizozemského umenia na Slovensku. Bratislava : SNG, 2006, 52-53.";"1118";"kúpa";"10, Slovenská národná galéria, SNG, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vľavo dole: Karl du Jardin";"krajina s figurálnou štafážou"
"Huysmans, Cornelis";"1690 - 1710";"17.-18. storočie, prelom, 1700 okolo";"25.10.1957";;;;"O 1259";"1.1.1982";"27. NK";"Ludiková, Zuzana";"plátno";"výška 40.5 cm; šírka 32.3 cm";"25.10.1957";"Podvečerná krajina so skupinou pocestných";"Podvečerná krajina so skupinou pocestných | Evening Landscape with Travellers (Preklad názvu)";"SNG";"SVK:SNG.O_1259";"POZN: rešt. Mária Spoločníková, 1962 (RP 33)

LIT:
Rusina, Ivan. Majstrovské diela nizozemského umenia na Slovensku. Bratislava : SNG, 2006, 174.";"1118";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"krajina s figurálnou štafážou"
"Bohúň, Kornel";"1884";"19. storočie, 2. polovica, 1884";"22.11.1957";;;;"O 1364";"1.1.1982";"29. NK";"Beňová, Katarína";"plátno";"výška 68.2 cm; šírka 54.7 cm";"22.11.1957";"Podobizeň MUDr.Michala Mandelíka";"Podobizeň MUDr.Michala Mandelíka | Portrait of MUDr. Michal Mandelík (Preklad názvu)";"SNG";"SVK:SNG.O_1364";"POZN:";"1280";"kúpa";"10, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"portrét"
"Bohúň, Kornel";"1884";"19. storočie, 2. polovica, 1884";"22.11.1957";;;;"O 1368";"1.1.1982";"29. NK";"Beňová, Katarína";"plátno";"výška 68.0 cm; šírka 54.5 cm";"22.11.1957";"Podobizeň pani M. Mandelíkovej";"Podobizeň pani M. Mandelíkovej | Portrait of Mrs. M. Mandelíková (Preklad názvu)";"SNG";"SVK:SNG.O_1368";"POZN: ";"1286";"kúpa";"10, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vľavo dole: C.Bohúň 884";"portrét"
"Antverpský maliar";"1540 - 1550";"16. storočie, 1. polovica, 1540-1550";"21.4.1958";;;;"O 1448";"1.1.1982";"31. NK";"Ludiková, Zuzana";"drevo";"výška 52.2 cm; šírka 36.0 cm";"21.4.1958";"Svätá rodina";"Svätá rodina | Holy Family (Preklad názvu)";"SNG";"SVK:SNG.O_1448";"POZN: 

LIT:
Rusina, Ivan. Majstrovské diela nizozemského umenia na Slovensku. Bratislava : SNG, 2006, 154.";"1394";"kúpa";"10, Slovenská národná galéria, SNG, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"tempera";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"náboženský motív"
"Ryckaert III., David";"1652 - 1654";"17. storočie, polovica, 1652-1654 okolo";"21.4.1958";;;;"O 1450";;"31. NK";"Ludiková, Zuzana";"plech, medený";"výška 62.8 cm; šírka 89.3 cm";"21.4.1958";"V krčme";"V krčme | At the Inn (Preklad názvu)";"SNG";"SVK:SNG.O_1450";"POZN: 

LIT:
Rusina, Ivan. Majstrovské diela nizozemského umenia na Slovensku. Bratislava : SNG, 2006, 108-109.";"1396";"kúpa";"10, Slovenská národná galéria, SNG, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"kópia";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"figurálna kompozícia"
"Pourbus st., Frans - pravdepodobne";"1555 - 1575";"16. storočie, 2. polovica, 1565 okolo";"17.9.1958";;;;"O 1472";;"33. NK";"Ludiková, Zuzana";"drevo";"výška 27.4 cm; šírka 81.0 cm";"17.9.1958";"Podobizeň Alexandra Farnése";"Podobizeň Alexandra Farnése | Portrait of Alexander Farnése (Preklad názvu)";"SNG";"SVK:SNG.O_1472";"POZN: rešt. Mária Spoločníková, 1961 – 1962 (RP 32)";"1441";"kúpa";"10, Slovenská národná galéria, SNG, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neoznačené";"portrét"
"Ruysdael, Salomon van";"1640 - 1650";"17. storočie, 1. polovica, 1640-1650";"21.4.1959";;;;"O 1525";"1.1.1982";"35. NK";"Ludiková, Zuzana";"drevo";"výška 82.5 cm; šírka 66.5 cm";"21.4.1959";"Rybári v morskej zátoke";"Rybári v morskej zátoke | Water Landscape with Fishermen  (Preklad názvu)";"SNG";"SVK:SNG.O_1525";"POZN: 

LIT:
Rusina, Ivan. Majstrovské diela nizozemského umenia na Slovensku. Bratislava : SNG, 2006, 62-63.";"1522";"kúpa";"10, Slovenská národná galéria, SNG, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"morská krajina"
"Mednyánszky, Ladislav";"1890 - 1895";"19. storočie, koniec, 1890-1895";"21.4.1959";;;;"O 1531";"1.1.1982";"35. NK";"Beňová, Katarína";"plátno";"výška 170.5 cm; šírka 73.5 cm";"21.4.1959";"Sputnaný";"Sputnaný | Otrok; Handcuffed (Slave) (Preklad názvu)";"SNG";"SVK:SNG.O_1531";"POZN: 

LIT:
Ladislav Mednyánszky. 1852-1919. Bratislava : Slovak National Gallery and Slovart, 2004, 476.";"1531";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"figurálna kompozícia"
"Skutecký, Dominik";"1903";"20. storočie, začiatok, 1903 okolo";"21.4.1959";;;;"O 1542";"1.1.1982";"35. NK";"Beňová, Katarína";"plátno";"výška 56.1 cm; šírka 48.0 cm";"21.4.1959";"Stavba rybárskych člnov. Capo d´Istria";"Stavba rybárskych člnov. Capo d´Istria | Building Fishing Boats (Preklad názvu)";"SNG";"SVK:SNG.O_1542";"POZN: Úplný názov diela:Stavba rybárskych člnov         Capo d Istria

Výstavy:
Ars et Amor, Labor et Gloria, SSG BB 2014
Impresionizmus.sk, SNG Bratislava 2014";"1547";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";;"vpravo dole: Skutezky D.";"morská krajina"
"Bailly, David";"1628";"17. storočie, 1. polovica, 1628";"17.5.1960";;2;1;"O 1651";"1.1.1982";"39. NK";"Ludiková, Zuzana";"drevo, dubové";"výška 67.0 cm; šírka 51.3 cm";"17.5.1960";"Gerrit Schaep";"Gerrit Schaep | Podobizeň pána - pôvod.; The Portrait of Gerrit Schaep  (Preklad názvu)";"SNG";"SVK:SNG.O_1651";"POZN: rešt. Mária Spoločníková, 1961 (RP 26)

LIT:
111 diel zo zbierok. Slovenská národná galéria. Bratislava : SNG, Vyd. Slovart, 2008. 277 s. ISBN 9788080856014(viaz.), 88-89.";"1772";"kúpa";"10, Slovenská národná galéria, SNG, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vľavo hore: A 1628";"portrét"
"Bailly, David";"1628";"17. storočie, 1. polovica, 1628";"17.5.1960";;2;2;"O 1652";"1.1.1982";"39. NK";"Ludiková, Zuzana";"drevo";"výška 66.6 cm; šírka 51.0 cm";"17.5.1960";"Johanna Visscher";"Johanna Visscher | Podobizeň dámy - pôvod.; The Portrait of Johanna de Visscher (Preklad názvu)";"SNG";"SVK:SNG.O_1652";"POZN: Mária Spoločníková, 1961 (RP 26)

LIT:
111 diel zo zbierok. Slovenská národná galéria. Bratislava : SNG, Vyd. Slovart, 2008. 277 s. ISBN 9788080856014(viaz.), 88-89.";"1773";"kúpa";"10, Slovenská národná galéria, SNG, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";;"vľavo hore: A 1628";"portrét"
"Artois, Jacques de";"1650 - 1660";"17. storočie, polovica, 1650 po";;;;;"O 1689";"1.1.1983";;"Ludiková, Zuzana";"tabuľa, drevená";"výška 28.5 cm; šírka 44.0 cm";"1.1.1960";"Cesta k jazeru";"Cesta k jazeru | Lake Path  (Preklad názvu)";"SNG";"SVK:SNG.O_1689";"POZN: rešt. Alena Kubová, 1999 (RP 409)

LIT:
Rusina, Ivan. Majstrovské diela nizozemského umenia na Slovensku. Bratislava : SNG, 2006, 154.";"1864";"prevod";"10, Slovenská národná galéria, SNG, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, maľba tabuľová";;"Signované vľavo dolu: JAh: null;null0001000059";"krajina s figurálnou štafážou"
"Netscher, Caspar - okruh autora";"1670 - 1680";"17. storočie, 2. polovica, 1670-1680";"13.4.1960";;;;"O 1696";"1.1.1989";"39. NK";"Ludiková, Zuzana";"plátno";"výška 36.4 cm; šírka 30.8 cm";"13.4.1960";"Zamyslená";"Zamyslená | In Thought (Preklad názvu)";"SNG";"SVK:SNG.O_1696";"POZN: rešt. Mária Spoločníková, 1961 (RP 23)

LIT:
Rusina, Ivan. Majstrovské diela nizozemského umenia na Slovensku. Bratislava : SNG, 2006, 183.";"1872";"kúpa";"10, Slovenská národná galéria, SNG, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"portrét en face | ženský portrét"
"Coecke van Aelst, Pieter - okruh autora";"1511 - 1531";"16. storočie, 1. polovica, 1521 okolo";;"ľavé krídlo tiptychu Oplakávanie O 1780-1782";;;"O 1780";"1.1.1982";;"Ludiková, Zuzana";"drevo";"výška 57.0 cm; šírka 18.5 cm";"30.11.1950";"Jozef z Arimatije";"Jozef z Arimatije | Postava donátora z ľavého krídla domáceho oltárika-pôv.; Lamentation Triptych. Joseph of Arimathea  (Preklad názvu)";"SNG";"SVK:SNG.O_1780";"POZN: 

LIT:
Rusina, Ivan. Majstrovské diela nizozemského umenia na Slovensku. Bratislava : SNG, 2006, 40-41.";"25";"prevod";"10, Slovenská národná galéria, SNG, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, maľba tabuľová; maliarstvo, obraz oltárny";;"neznačené";"náboženský motív"
"Coecke van Aelst, Pieter - okruh autora";"1511 - 1531";"16. storočie, 1. polovica, 1521 okolo";;"Triptich  Oplakávanie";;;"O 1781";"1.1.1982";;"Ludiková, Zuzana";"drevo";"výška 57.0 cm; šírka 30.5 cm";"30.11.1950";"Oplakávanie Krista";"Oplakávanie Krista | Lamentation Triptych. Lamentation of Christ (Preklad názvu)";"SNG";"SVK:SNG.O_1781";"POZN:

LIT:
Rusina, Ivan. Majstrovské diela nizozemského umenia na Slovensku. Bratislava : SNG, 2006, 40-41.";"25";"prevod";"10, Slovenská národná galéria, SNG, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, maľba tabuľová; maliarstvo, obraz oltárny";;"neznačené";"náboženský motív"
"Coecke van Aelst, Pieter - okruh autora";"1511 - 1531";"16. storočie, 1. polovica, 1521 okolo";;"pravé krídlo domáceho krídlového oltárika triptych Oplakávanie O 1780-1782";;;"O 1782";"1.1.1982";;"Ludiková, Zuzana";"drevo";"výška 57.0 cm; šírka 18.5 cm";"30.11.1950";"Mária Magdaléna";"Mária Magdaléna | Postava donátorovej manželky-pôv.; Lamentation Triptych. Mary Magdalene  (Preklad názvu)";"SNG";"SVK:SNG.O_1782";"POZN: 

LIT:
Rusina, Ivan. Majstrovské diela nizozemského umenia na Slovensku. Bratislava : SNG, 2006, 40-41.";"25";"prevod";"10, Slovenská národná galéria, SNG, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, maľba tabuľová; maliarstvo, obraz oltárny";;"neznačené";"náboženský motív"
